الاسم,السعر,الماركة,رابط_الصورة,رابط_المنتج,sku
بوشرون باتشولي دي انكور او دي برفيوم 125 مل,750.0,BOUCHERON,https://cdn.salla.sa/jvWnV/Ecn17Wl7BRezAKYC1IceaXrCZOvRRVgeD1pypFqo.jpg,https://saeedsalah.com/بوشرون-باتشولي-دي-انكور-او-دي-برفيوم-125-مل/p1996450478,"boucheron-patchouli-d,angkor-edp-125-ml/p1996450478"
جيبور بوشرون للرجال او دي تواليت 100 مل,185.0,BOUCHERON,https://cdn.salla.sa/jvWnV/15b44d7c-326e-434e-9a96-47f7f2f693c4-1000x1000-3050n6aaboxhUBqGoCA0hpLdlCAkwMAC4xm8365x.png,https://saeedsalah.com/جيبور-بوشرون-للرجال-او-دي-تواليت-100-مل/p64594080,boucheron-jaipur-homme-edt-100-ml/p64594080
باكو رابان ون مليون الكسير انتينس للرجال او دي برفيوم 50 مل,310.99,PACO RABANNE,https://cdn.salla.sa/jvWnV/458b3c05-9ef9-4f83-87d7-37cf123b1abd-1000x1000-KQFEafRifYA9J7SAunvpQusydxHJ9j0piNBDTEoK.png,https://saeedsalah.com/ون-مليون-الكسير-انتينس-باكوربان-للرجال-او-دي-برفيوم-50-مل/p1679188646,one-million-elixir-intense-paco-rabanne-for-men-edp-50-ml/p1679188646
باكو رابان انفكتوس فايكتوري اكستريم للرجال او دي برفيوم 100 مل,394.99,PACO RABANNE,https://cdn.salla.sa/jvWnV/TVsQxvXWbvIF8szoPvmCWhWceBGkAwyk710lvRwf.jpg,https://saeedsalah.com/باكوربان-انفكتوس-فايكتوري-اكستريم-للرجال-او-دي-برفيوم-100-مل/p946611364,paco-rabanne-invictus-victory-extreme-for-men-edp-100-ml/p946611364
باكو رابان فانتوم للرجال او دي تواليت 100 مل,370.0,PACO RABANNE,https://cdn.salla.sa/jvWnV/2e472f08-3748-445f-b3ba-89d9394632ff-1000x1000-GRma3TDu2hoeLNEYRJ4GY0BUX9h2qWxku4IjF6Mt.png,https://saeedsalah.com/باكوربان-فانتوم-للرجال-او-دي-تواليت-100-مل/p1854342747,paco-rabanne-phantom-for-men-edt-100-ml/p1854342747
باكو رابان ون مليون للرجال برفيوم 100 مل,299.99,PACO RABANNE,https://cdn.salla.sa/jvWnV/3bdd52f6-20bc-4be3-894b-8fd031da1863-1000x1000-o9qxN8EkQbSBwlCjULhqcotPhxhsKHDT5rJgp9SW.png,https://saeedsalah.com/باكوربان-ون-مليون-للرجال-برفيوم-100-مل/p482010970,paco-rabanne-1-million-for-men-edp-100-ml/p482010970
باكو رابان اكس اس للرجال او دي تواليت 100 مل,220.0,PACO RABANNE,https://cdn.salla.sa/jvWnV/4adf19f4-35a1-4cff-8f90-b1ed57cecbed-1000x1000-B51K9bN9yKa8EXTvpPsDqDF6bagA6v3uou0dcM7c.png,https://saeedsalah.com/اكس-اس-باكوربان-للرجال-او-دي-تواليت-100-مل/p1894824280,paco-rabanne-xs-for-men-edt-100-ml/p1894824280
باكو رابان ون مليون لاكي للنساء او دي برفيوم 80 مل,300.0,PACO RABANNE,https://cdn.salla.sa/jvWnV/yKAy5Pawz6OyT771lIS4Dd0lgpLn6Yys2MWbShyD.jpg,https://saeedsalah.com/ياكوربان-ون-مليون-لكي-للنساء-او-دي-برفيوم-80-مل/p657168991,paco-rabanne-1-million-lucky-for-women-edp-80-ml/p657168991
باكو رابان ون مليون لاكي للرجال او دي تواليت 100 مل,550.0,PACO RABANNE,https://cdn.salla.sa/jvWnV/c2f6b961-b63f-4fdb-9e05-728e534dc0a3-1000x1000-vakFNFDs5yjERKWtaskwNswohW7PTi2yp7Ytjr6J.png,https://saeedsalah.com/باكوربان-ون-مليون-لكي-للرجال-او-دي-تواليت-100-مل/p1431141214,paco-rabanne-1-million-lucky-for-men-edt-100-ml/p1431141214
باكو رابان بلاك اكس اس 2018 للنساء او دي برفيوم 80 مل,279.99,PACO RABANNE,https://cdn.salla.sa/jvWnV/E8uJiZRQ9fjRsp6vdM6aLejLSCKyihgCF9qLoatl.jpg,https://saeedsalah.com/باكوربان-بلاك-اكس-اس-2018-للنساء-او-دي-برفيوم-80-مل/p2069912669,paco-rabanne-black-xs-2018-for-women-edp-80-ml/p2069912669
باكو رابان ليدي مليون برايف  للنساء او دي برفيوم 80 مل,299.99,PACO RABANNE,https://cdn.salla.sa/jvWnV/a5a0636f-7675-4dbe-86f9-265aaf7398eb-1000x533.78378378378-LBivSOyRN5qHH2knDLssgQp9c4lk8TugnPTlmqFY.png,https://saeedsalah.com/ليدي-مليون-برايف-باكوربان-للنساء-او-دي-برفيوم-80-مل/p1606295123,lady-million-prive-paco-rabanne-for-women-edp-80-ml/p1606295123
